0.670677,0.467578,0;2.87761,2.40516,0;2.96961,8.50182,0;3.34134,6.20507,0;4.65662,2.34893,0;6.98407,9.75643,0;8.01641,0.299056,0;9.86938,3.03817,0;9.87869,9.66236,0;|
0.681161,0.454478,0;2.8881,2.39206,0;2.98009,8.48872,0;3.35182,6.19197,0;4.66711,2.33583,0;6.99456,9.74333,0;8.0269,0.285957,0;9.87986,3.02507,0;9.88918,9.64926,0;|
0.691645,0.441379,0;2.89858,2.37896,0;2.99057,8.47562,0;3.36231,6.17887,0;4.67759,2.32273,0;7.00504,9.73023,0;8.03738,0.272857,0;9.89034,3.01197,0;9.89966,9.63616,0;|
0.702128,0.42828,0;2.90907,2.36586,0;3.00106,8.46252,0;3.37279,6.16577,0;4.68808,2.30963,0;7.01552,9.71713,0;8.04786,0.259758,0;9.90083,2.99887,0;9.91014,9.62306,0;|
0.712612,0.41518,0;2.91955,2.35276,0;3.01154,8.44942,0;3.38327,6.15267,0;4.69856,2.29653,0;7.02601,9.70403,0;8.05835,0.246659,0;9.91131,2.98577,0;9.92063,9.60996,0;|
0.723096,0.402081,0;2.93003,2.33966,0;3.02203,8.43632,0;3.39376,6.13957,0;4.70904,2.28343,0;7.03649,9.69093,0;8.06883,0.233559,0;9.92179,2.97267,0;9.93111,9.59686,0;|
0.73358,0.388982,0;2.94052,2.32656,0;3.03251,8.42322,0;3.40424,6.12647,0;4.71953,2.27033,0;7.04697,9.67783,0;8.07932,0.22046,0;9.93228,2.95957,0;9.9416,9.58376,0;|
0.744064,0.375882,0;2.951,2.31346,0;3.04299,8.41012,0;3.41473,6.11337,0;4.73001,2.25723,0;7.05746,9.66473,0;8.0898,0.207361,0;9.94276,2.94647,0;9.95208,9.57066,0;|
0.754548,0.362783,0;2.96149,2.30036,0;3.05348,8.39702,0;3.42521,6.10028,0;4.74049,2.24413,0;7.06794,9.65163,0;8.10028,0.194261,0;9.95325,2.93337,0;9.96256,9.55756,0;|
0.765032,0.349684,0;2.97197,2.28727,0;3.06396,8.38392,0;3.43569,6.08718,0;4.75098,2.23103,0;7.07843,9.63853,0;8.11077,0.181162,0;9.96373,2.92027,0;9.97305,9.54446,0;|
0.775515,0.336585,0;2.98245,2.27417,0;3.07445,8.37082,0;3.44618,6.07408,0;4.76146,2.21793,0;7.08891,9.62543,0;8.12125,0.168063,0;9.97421,2.90717,0;9.98353,9.53136,0;|
0.785999,0.323485,0;2.99294,2.26107,0;3.08493,8.35772,0;3.45666,6.06098,0;4.77195,2.20483,0;7.09939,9.61233,0;8.13173,0.154963,0;9.9847,2.89407,0;9.99401,9.51826,0;|
0.00449848,9.50516,0;0.796483,0.310386,0;3.00342,2.24797,0;3.09541,8.34462,0;3.46714,6.04788,0;4.78243,2.19173,0;7.10988,9.59923,0;8.14222,0.141864,0;9.99518,2.88098,0;|
0.00566387,2.86788,0;0.0149824,9.49206,0;0.806967,0.297287,0;3.01391,2.23487,0;3.1059,8.33152,0;3.47763,6.03478,0;4.79291,2.17863,0;7.12036,9.58613,0;8.1527,0.128765,0;|
0.0161477,2.85478,0;0.0254662,9.47896,0;0.817451,0.284187,0;3.02439,2.22177,0;3.11638,8.31842,0;3.48811,6.02168,0;4.8034,2.16553,0;7.13084,9.57303,0;8.16319,0.115666,0;|
