1,1,1000,1.78431
2,1,1000,0.937281
2,2,1000,0.997176
4,1,1000,0.506809
4,2,1000,0.556623
4,4,1000,0.563212
8,1,1000,0.419835
8,2,1000,0.510151
8,4,1000,0.553147
8,8,1000,0.485694
1,1,4000,8.43705
2,1,4000,4.03623
2,2,4000,4.43472
4,1,4000,2.158
4,2,4000,2.34507
4,4,4000,2.54105
8,1,4000,1.68974
8,2,4000,1.92204
8,4,4000,2.10164
8,8,4000,2.09778
1,1,16000,37.4784
2,1,16000,17.4001
2,2,16000,20.5325
4,1,16000,8.74961
4,2,16000,10.3714
4,4,16000,11.759
8,1,16000,6.76371
8,2,16000,8.03735
8,4,16000,9.47597
8,8,16000,10.265
1,1,64000,174.15
2,1,64000,77.5577
2,2,64000,96.7229
4,1,64000,38.1343
4,2,64000,45.4714
4,4,64000,56.2924
8,1,64000,28.2968
8,2,64000,35.1655
8,4,64000,41.6819
8,8,64000,47.229
1,1,100000,299.319
2,1,100000,134.644
2,2,100000,164.059
