50,1,0|49,0,0|51,0,0|49,0,0|51,0,0|49,0,0|51,0,0|49,0,0|
49,2,0|54,0,0|46,0,0|50,0,0|44,0,0|50,0,0|52,0,0|53,0,0|
53,2,0|51,0,0|41,0,0|51,0,0|44,0,0|49,0,0|55,0,0|54,0,0|
53,3,0|51,0,0|41,0,0|51,0,0|45,0,0|47,0,0|55,0,0|54,0,0|
53,3,0|53,0,0|40,0,0|51,0,0|46,0,0|45,0,0|53,0,0|56,0,0|
53,4,0|54,0,0|41,0,0|50,0,0|46,0,0|45,0,0|50,0,0|57,0,0|
53,4,0|53,0,0|38,0,0|51,0,0|43,0,0|47,0,0|54,0,0|57,0,0|
52,6,0|53,0,0|37,0,0|49,0,0|42,0,0|46,0,0|57,0,0|58,0,0|
48,7,0|59,0,0|35,0,0|51,0,0|42,0,0|46,0,0|56,1,0|55,0,0|
48,9,0|59,0,0|35,0,0|51,0,0|43,0,0|44,0,0|55,1,0|55,0,0|
46,12,0|62,0,0|32,0,0|53,0,0|40,0,0|45,0,0|55,1,0|54,0,0|
43,12,0|57,0,0|32,0,0|53,0,0|41,0,0|44,0,0|58,2,0|58,0,0|
43,12,0|61,0,0|32,0,0|51,0,0|39,0,0|44,0,0|57,4,0|57,0,0|
45,17,0|55,0,0|32,0,0|50,0,0|39,0,0|44,0,0|56,3,0|59,0,0|
44,17,0|58,0,0|31,0,0|50,0,0|38,0,0|44,0,0|57,3,0|58,0,0|
46,16,0|58,0,0|32,0,0|48,0,0|38,0,0|44,0,0|58,4,0|56,0,0|
45,17,0|60,0,0|30,0,0|48,0,0|37,0,0|44,0,0|61,4,0|54,0,0|
47,19,0|55,1,0|31,0,0|47,0,0|38,0,0|42,0,0|60,2,0|58,0,0|
46,19,0|59,1,0|31,0,0|46,0,0|34,0,0|45,0,0|59,2,0|58,0,0|
47,19,0|56,0,0|30,0,0|46,0,0|37,0,0|42,0,0|60,3,0|60,0,0|
46,19,0|57,5,0|29,0,0|46,0,0|35,0,0|44,0,0|59,3,0|57,0,0|
43,19,0|58,5,0|28,0,0|45,0,0|35,0,0|43,0,0|64,3,0|57,0,0|
45,20,0|56,6,0|29,0,0|44,0,0|34,0,0|44,0,0|61,3,0|58,0,0|
43,21,0|57,9,0|29,0,0|40,0,0|35,0,0|43,0,0|60,2,0|61,0,0|
41,21,0|61,8,0|28,0,0|41,0,0|33,0,0|44,0,0|62,3,0|58,0,0|
41,21,0|59,7,0|29,0,0|40,0,0|33,0,0|44,0,0|61,3,0|58,4,0|
45,21,0|59,9,0|29,0,0|39,0,0|32,0,0|45,0,0|58,3,0|55,5,0|
43,23,0|56,11,0|29,0,0|39,0,0|36,0,0|41,0,0|61,3,0|54,4,0|
43,21,0|52,13,0|27,0,0|41,0,0|33,0,0|43,0,0|58,3,0|60,6,0|
43,22,0|50,13,0|28,0,0|39,0,0|35,0,0|41,0,0|61,3,0|59,6,0|
43,26,0|46,14,0|26,0,0|42,0,0|35,0,0|40,0,0|60,3,0|60,5,0|
36,30,0|49,14,0|27,0,0|40,0,0|35,0,0|39,0,0|58,6,0|60,6,0|
32,34,0|47,14,0|24,0,0|43,0,0|37,0,0|36,0,0|60,7,0|60,6,0|
33,31,1|47,16,0|24,0,0|42,0,0|35,0,0|37,0,0|61,8,0|59,6,0|
30,30,1|47,16,0|23,0,0|43,0,0|36,0,0|35,0,0|61,9,0|61,8,0|
31,34,1|44,15,0|23,0,0|43,0,0|35,0,0|35,0,0|60,7,0|63,9,0|
31,32,2|47,15,0|24,0,0|42,0,0|34,0,0|36,0,0|60,8,0|59,10,0|
35,34,2|41,14,0|21,0,0|43,0,0|33,0,0|36,0,0|58,8,0|65,10,0|
35,34,2|44,15,0|20,0,0|43,0,0|34,0,0|34,1,0|60,9,0|62,7,0|
35,36,2|43,15,0|20,0,0|43,0,0|34,0,0|33,0,0|58,11,0|63,7,0|
36,35,2|44,16,0|19,0,0|42,0,0|33,0,0|34,0,0|59,11,0|60,9,0|
34,34,2|44,16,0|19,0,0|42,0,0|31,0,0|34,0,0|61,14,0|59,10,0|
34,35,2|44,17,0|20,0,0|41,0,0|32,0,0|33,0,0|58,15,0|57,12,0|
31,36,2|42,18,0|21,0,0|40,0,0|31,0,0|34,0,0|59,15,0|54,17,0|
34,35,2|44,19,0|20,0,0|40,0,0|32,0,0|33,0,0|55,16,0|52,18,0|
32,38,3|45,17,0|22,0,0|38,0,0|32,0,0|33,0,0|54,16,1|47,22,0|
30,37,3|44,20,0|21,0,0|39,0,0|33,0,0|32,0,0|55,16,1|45,24,0|
26,41,3|43,18,0|21,0,0|39,0,0|33,0,0|32,0,0|57,14,1|45,27,0|
31,41,3|40,18,0|22,0,0|38,0,0|33,0,0|32,0,0|54,14,1|45,28,0|
27,39,4|42,19,0|21,0,0|37,0,0|30,0,0|34,0,0|54,17,1|47,28,0|
25,43,4|44,19,0|21,0,0|36,0,0|33,0,0|31,0,0|50,18,1|45,30,0|
26,42,4|42,19,1|21,0,0|35,0,0|31,0,0|32,0,0|50,19,1|46,31,0|
25,45,4|43,18,1|21,0,0|34,0,0|33,0,0|30,0,0|48,21,1|43,33,0|
25,43,4|40,22,1|20,0,0|34,0,0|31,0,0|32,0,0|48,24,1|43,32,0|
21,45,4|42,20,1|20,0,0|34,0,0|31,0,0|32,0,0|48,24,1|41,36,0|
18,52,4|41,19,1|19,0,0|34,0,0|31,0,0|32,0,0|49,23,1|40,36,0|
18,48,4|42,23,1|19,0,0|34,0,0|30,0,0|31,0,0|52,24,1|32,41,0|
17,48,3|45,24,2|19,0,0|33,0,0|29,0,0|31,0,0|49,27,1|32,40,0|
17,48,4|44,26,2|19,0,0|31,0,0|26,0,0|34,0,0|45,30,1|30,43,0|
17,49,5|42,25,2|19,0,0|31,0,0|27,0,0|33,0,0|42,30,1|32,45,0|
17,47,5|43,24,2|18,0,0|32,0,0|25,0,0|34,0,0|37,39,1|31,45,0|
19,47,6|42,24,2|19,0,0|31,0,0|26,0,0|33,0,0|34,38,3|30,46,0|
18,45,6|43,24,2|18,0,0|30,0,0|27,0,0|32,0,0|34,40,3|32,46,0|
19,50,6|41,25,2|19,0,0|29,0,0|29,0,0|30,0,0|33,35,3|31,48,0|
18,51,7|42,25,2|19,0,0|29,0,0|26,0,0|32,0,0|34,36,3|28,48,0|
14,48,9|41,29,2|20,0,0|28,0,0|25,0,0|32,0,0|32,36,3|29,52,0|
13,48,9|40,28,4|20,0,0|28,0,0|24,0,0|33,0,0|30,40,3|28,52,0|
13,47,10|40,30,3|20,0,0|28,0,0|24,0,0|32,0,0|29,42,4|25,53,0|
13,48,12|37,31,3|21,0,0|26,0,0|22,0,0|33,0,0|26,47,3|26,52,0|
13,48,11|36,30,5|20,0,0|27,0,0|22,0,0|33,0,0|26,47,3|25,54,0|
13,46,11|36,31,5|20,0,0|27,0,0|22,0,0|33,0,0|23,52,3|26,52,0|
13,44,13|34,35,5|20,0,0|26,0,0|22,0,0|33,0,0|25,50,3|21,56,0|
12,45,14|35,32,5|20,0,0|26,0,0|24,0,0|30,0,0|22,57,3|21,53,1|
12,44,13|33,31,6|20,0,0|26,0,0|23,0,0|30,0,0|22,58,4|23,54,1|
12,46,14|31,34,5|20,0,0|25,0,0|22,0,0|31,0,0|17,59,4|24,55,1|
12,43,14|31,34,5|20,0,0|25,0,0|23,0,0|30,0,0|16,65,4|23,54,1|
12,42,18|31,36,3|20,0,0|25,0,0|24,0,0|28,0,0|15,64,4|22,55,1|
12,42,16|30,37,5|20,0,0|25,0,0|22,0,0|29,0,0|16,66,4|22,53,1|
11,42,16|28,35,6|20,0,0|25,0,0|22,0,0|29,0,0|16,67,5|23,54,1|
10,43,18|27,34,6|20,0,0|24,0,0|22,0,0|29,0,0|16,65,4|24,57,1|
10,46,18|26,35,6|20,0,0|24,0,0|22,0,0|27,0,0|16,63,4|23,58,2|
